CNN,CODE,CNN_1,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,APS,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
22585000,,22585000,OCEAN,PLYMOUTH,VETAG,,7,,,ALL,,GPS,TSP,,,OCEAN,FULL DONE,1-Jan,0,NONE,NONE,DONE,NONE,SALES TAX,,1965,,,0,,0,0,,POINT (-122.456505 37.723957),64,10,8,24,64
24686000,,24686000,PINE,SANSOME,,,3,,,ALL,,GPS,,,,,NONE,,0,,,,,,,1949,,,0,,0,0,,POINT (-122.40092 37.792103),108,6,3,8,108
25139000,,25139000,ELLIS,LEAVENWORTH,,,6,,,ALL,,GPS,,,,,NONE,,0,,,,,,,1967,,,0,,0,0,,POINT (-122.41441 37.784653),20,5,10,36,20
24945000,,24945000,JONES,O'FARRELL,OPTICOM,,6,,,ALL,,GPS,TSP;FIRE PREEMPT,,,CT 31,MOD DONE,,0,,DONE,,,,,1957,,,0,,0,0,,POINT (-122.41296 37.785786),20,5,10,36,20
25956000,,25956000,FULTON,WEBSTER,,,5,,,ALL,,GPS,,,,,NONE,,0,,,,,,,1972,,,0,,0,0,,POINT (-122.42983 37.777916),22,4,11,9,22
24695000,,24695000,BATTERY,WASHINGTON,,,3,,,ALL,,GPS,FIRE PREEMPT,,,,NONE,,0,,,,,,,1967,,,0,,0,0,,POINT (-122.400475 37.79587),108,6,3,8,108
25813000,,25813000,18TH ST,CASTRO,,,8,,,ALL,,GPS,,,,CT 20,NONE,,0,,,,,,,1952,,,0,,0,0,,POINT (-122.43499 37.760883),38,3,5,5,38
4607000,,4607000,DAVIS,MIDBLOCK AT,,CLAY,3,SACRAMENTO,,ALL,,GPS,,,,,NONE,,0,,,,,,,1986,,,100,X,0,0,,POINT (-122.39787 37.794857),108,6,3,8,108
33519000,,33519000,HERBST,LAKE MERCED,,SKYLINE,7,,LOOPS,ALL,YES,GPS,,,,,CALTRANS,2010,0,,,,,,,2010,,,0,,0,0,PENDING,POINT (-122.49905 37.73157),43,10,8,16,43
8371201,,8371201,LINCOLN,MIDBLOCK AT,,33RD AVE,1;4,34TH AVE,,n.a.,,GPS,,,,,B&F,,0,,,,DONE,,,2015,,,0,,0,0,,POINT (-122.49252 37.76481),9,10,7,35,9
24491000,,24491000,BRYANT,STERLING,,,6,,WIRELESS,ALL,YES,GPS,,,CT 64,,NEW DONE,,0,DONE,NONE,NONE,NONE,SFMTA PROP-A/SALES TAX/PRIVATE,,2020,,,0,,0,0,APS iNAV 2WIRE CT 64 (6),POINT (-122.39283 37.783688),31,1,10,8,31
24377000,,24377000,15TH ST,VALENCIA,,,8;9,,,ALL,,GPS,,,,VALENCIA,FULL DONE,,1995,NONE,NONE,DONE,NONE,SALES TAX,,1967,,,0,,0,0,,POINT (-122.42203 37.766533),53,3,2,20,53
24513000,,24513000,03RD ST,HARRISON,OPTICOM,,6,,,ALL,,GPS,TSP;FIRE PREEMPT,,,HARRISON,FULL DONE,,1999,NONE,NONE,DONE,NONE,SALES TAX,,1956,,,0,,0,0,,POINT (-122.39737 37.782547),32,1,10,8,32
23149000,,23149000,19TH AVE,SLOAT,,,4;7,,LOOPS,ALL,YES,GPS,,,19th Ave PH 3,CT 24,FULL PENDING,,1999,NONE,DONE,PENDING,NONE,SALES TAX,YES,1946,1(a),X,75,X,25,0,APS_4WIRE_19thAV (12),POINT (-122.47509 37.73462),62,10,8,41,62
26416000,,26416000,CLAYTON,OAK,,,5,,,ALL,,GPS,,,,HES,FULL DONE,Jul-00,0,NONE,NONE,DONE,NONE,SALES TAX,,1955,,,0,,0,0,,POINT (-122.448944 37.771664),24,7,11,3,24
26383000,,26383000,GOLDEN GATE,MASONIC,,,1;5,,,ALL,,GPS,,,,MASONIC HSIP; SRC #2009-099,FULL AFTER MOD DONE,,0,NONE,DONE,DONE,NONE,SALES TAX,,1954,,,0,,0,0,,POINT (-122.44683 37.777664),97,7,11,18,97
5406100,,5406100,BUCHANAN,McALLISTER,,,5,,,N.A.,YES,GPS,,,Western Addition Phase 2,Muni Forward 5 Fulton,BEACON DONE,,0,NONE,NONE,NONE,DONE,,,2018,,,0,,0,0,,POINT (-122.42847 37.779045),97,4,11,39,97
21579000,,21579000,ALEMANY,LAWRENCE,,,11,,,PENDING,,GPS,,,CT 65,,NEW PENDING,,0,PENDING,NONE,NONE,NONE,SALES TAX,,0,,,0,,0,0,,POINT (-122.45313 37.711216),66,9,1,28,66
25871000,,25871000,14TH ST,DOLORES,,,8,,,ALL,,GPS,,,,,NONE,,0,NONE,NONE,NONE,NONE,,,1974,,,0,,0,0,,POINT (-122.42668 37.767864),37,3,5,20,37
24094000,,24094000,23RD ST,MISSION,OPTICOM,,9,,,ALL,,GPS,TSP;FIRE PREEMPT,,Signal Visibility Upgrades Ph 1,MID MISSION,MOD AFTER FULL PENDING,,0,NONE,PENDING,DONE,NONE,,,1953,,,0,,0,0,,POINT (-122.41858 37.75383),53,3,2,20,53
26754000,,26754000,BAY,LAGUNA,,,2,,,SOME PHASES,,GPS,,,,,NONE,,0,,,,,,,1953,,,0,,0,0,,POINT (-122.43166 37.80326),17,4,6,13,17
22645000,,22645000,MONTEREY,VALDEZ,,,7,,,n.a.,YES,GPS,,,,CT 63,BEACON DONE,,0,NONE,NONE,NONE,DONE,,,2018,,,0,,0,0,,POINT (-122.45575 37.731342),71,9,8,41,71
23141000,,23141000,JUNIPERO SERRA,PORTOLA,OVERHEAD CONTACT PAN,SLOAT,7,WEST PORTAL,VIDEO,ALL,YES,GPS,ACTUATED TRANSIT PHASE,,,St. Francis Circle,FULL DONE,10-Jul,0,NONE,NONE,DONE,NONE,,,1952,,,0,,0,0,APS_4WIRE_SFC (20),POINT (-122.47156 37.734703),116,10,8,41,116
24631000,,24631000,04TH ST,MINNA,,,6,,VIDEO,ALL,YES,GPS,,,,MOSCONE CENTER EXPANSION,NEW DONE,2-Jun,2002,DONE,NONE,NONE,NONE,FEDS,,2002,,,0,,0,0,,POINT (-122.4037 37.78404),32,1,10,8,32
27288000,,27288000,08TH AVE,GEARY,OPTICOM,,1,,,ALL,,GPS,TSP;FIRE PREEMPT,,Geary BRT Phase 2 (unfunded),MID GEARY,FULL DONE,1-Oct,2004,NONE,NONE,DONE,NONE,SALES TAX,,1986,,,0,,0,0,,POINT (-122.466415 37.78092),5,8,4,11,5
